title;description;author;duration;rating;price;image_name;category;subcategory
Kurs JavaScript - Szybki Start;Wstęp do programowania w języku JavaScript;eduweb.pl - Kursy Wideo;5;4,3;52.99;1543228_6a58_4.jpg;Programowanie;Języki programowania
Python dla średnio zaawansowanych;Programuj sprytnie;Rafał Mobilo;11;4,8;52.99;2292513_d69e_2.jpg;Programowanie;Języki programowania
Java - ambitny start. Zbuduj aplikację webową!;Java, Maven, Jetty, Spring, SQL, Hibernate, Flyway, HTTP, Servlety, REST, CRUD, front-end, JUnit, testy jednostkowe;Mateusz Chrzonstowski;8,5;4,6;52.99;2258172_16f7.jpg;Programowanie;Języki programowania
GIT od podstaw dla każdego;Poznaj kluczowe aspekty git krok po kroku w szybki i łatwy sposób. Naucz się git od zera i przygotuj się do pracy.;Adrian Szuszkiewicz;4;4,5;69.99;1695458_dd44_2.jpg;Programowanie;Narzędzia programistyczne
Kurs WordPress ZEROdoPRO / Strona.Blog.Sklep Krok po Kroku;Dla początkujących. Jak założyć Bloga, zbudować własną Stronę, lub stworzyć Sklep Internetowy? Na Systemie WordPress.;Dawid Polsakiewicz;14;4,1;52.99;1926392_0fbc_6.jpg;Programowanie;Tworzenie stron internetowych
Node.js, Express i MongoDB;dla osób, które chcą poznać platformę Node.js, bazę danych MongoDB oraz framework Express;Samuraj Programowania;24;4,4;69.99;2330558_0de2_2.jpg;Programowanie;Tworzenie stron internetowych
Naucz się tworzenia stron www w języku HTML;Podstawy HTML i CSS w dużym skrócie.;Sly Hofman;1;4,5;52.99;1356910_11c3_3.jpg;Programowanie;Tworzenie stron internetowych
[2020] JavaScript - Jedyny Kurs, Którego Potrzebujesz!;Poznaj od podstaw język JavaScript i naucz się tworzyć zaawansowane aplikacje!;Mateusz Maj;19;4,7;52.99;2532868_291d_3.jpg;Programowanie;Języki programowania
Django 3.0 po polsku (podstawy);Podstawowy kurs frameworka Django w języku Python;Krystian Czekalski;7,5;4,4;52.99;1762116_5d0e.jpg;Programowanie;Tworzenie stron internetowych
C# Seria Programista - część 1;C# Podstawy programowania;Mariusz Jurczenko;15;4,4;59.99;1936666_2ce6_5.jpg;Programowanie;Języki programowania
Android - od kompletnego zera do zaangażowanego developera;Naucz się tworzyć kompletne aplikacje mobilne dla swoich i komercyjnych potrzeb;Oskar Polak;6,5;4,1;52.99;1385136_3eda_2.jpg;Programowanie;Programowanie mobilne
Programowanie w języku Python - od A do Z - 2020;Naucz się jednego z najpopularniejszych języków programowania i otwórz sobie drzwi do kariery w IT! - Python;Paweł Krakowiak;16;4,6;52.99;2491660_5c26.jpg;Programowanie;Języki programowania
HTML i CSS - poznaj podstawy i zacznij programować!;Stwórz swoją pierwszą witrynę internetową, naucz się podstaw programowania i poznaj HTML oraz CSS!;eduweb.pl - Kursy Wideo;7,5;4,7;52.99;1485130_d33a_2.jpg;Programowanie;Tworzenie stron internetowych
Wzorce Projektowe (Design Patterns);Wprowadzenie do najpopularniejszych wzorców projektowych w języku Java;Paweł Ćwik, Dawid Nowak;5,5;4,4;52.99;1512420_39cc.jpg;Programowanie;Języki programowania
Wstęp do testowania oprogramowania.;Praktyczny kurs od podstaw.;Mateusz Kruszyk;2;3,4;52.99;1883130_065f.jpg;Programowanie;Testowanie oprogramowania
Stwórz swoją pierwszą grę 2D w Unity;Od podstaw;Videopoint Grupa Helion;5,5;4,8;52.99;1380864_9c58.jpg;Programowanie;Tworzenie gier
[2020] Kurs Tworzenia Stron WWW cz. II - SASS, JS, Bootstrap;Zaawansowany CSS, podstawy JavaScript, Bootstrap i więcej! Naucz się tworzyć profesjonalne strony WWW! :);Mateusz Maj;13;4,8;52.99;2428430_1b96_7.jpg;Programowanie;Tworzenie stron internetowych
Programowanie w PHP 7.4 od podstaw - teoria i praktyka;Podstawy PHP, programowania obiektowego i baz danych pozwalające zostać w przyszłości junior PHP developerem;Mentorzy IT, Tomasz Tomczyk;27,5;4,5;69.99;2885672_2a55_7.jpg;Programowanie;Języki programowania
ASP.NET Core 2.1 MVC - Seria Web Developer - część 1;Budowanie pierwszej aplikacji ASP.NET Core 2.1 MVC z Visual Studio 2017;Mariusz Jurczenko;8;3,6;52.99;1978486_bc2e_6.jpg;Programowanie;Tworzenie stron internetowych
Postman - testowanie REST API;Kurs krok po kroku dla początkujących;Tester Oprogramowania;4;4,1;69.99;2246936_f1ce_2.jpg;Programowanie;Testowanie oprogramowania
Bootcamp programistyczny 2020 (PL): Web dev Full stack;Web Development Full stack: HTML, CSS, JavaScript, Angular 7, React 16, Python 3, Django 2, NativeScript 5;Krystian Czekalski;31;4,4;52.99;2032346_2fb0_4.jpg;Programowanie;Tworzenie stron internetowych
Programowanie w Visual Basic (VBA) w Excelu;Środowisko programistyczne (IDE) Visual Basic w Excelu. Proste, wdzięczne i niesłychanie funkcjonalne;Zbigniew Kasprzycki;12;4,5;52.99;2047731_947e_4.jpg;Programowanie;Języki programowania
Testy jednostkowe - JUnit 5, Mockito 2, TDD;Poznaj od podstaw jak tworzyć dobre testy jednostkowe w języku Java i metodyce Test Driven Development;Dawid Nowak, Paweł Ćwik;6;4,9;52.99;2243790_343c.jpg;Programowanie;Języki programowania
Kurs Selenium Python od podstaw;Kurs Selenium WebDriver w języku polskim z użyciem języka programowania Python ( wersja 3.X);Tester Oprogramowania;12;4,5;99.99;2337424_48a0_2.jpg;Programowanie;Testowanie oprogramowania
Java - Spring Framework;Spring 5, Spring Boot 2, Data, Web, Dependency Injection, AOP, Security, Hibernate, JUnit, Mockito, AssertJ, Maven;Mateusz Chrzonstowski;20,5;4,5;52.99;2746694_28aa.jpg;Programowanie;Języki programowania
Kurs Selenium Java od podstaw;Kurs Selenium po polsku z użyciem języka programowania Java;Tester Oprogramowania;15,5;4,4;99.99;2018726_0044_2.jpg;Programowanie;Testowanie oprogramowania
Tworzenie aplikacji w języku Swift - 6 programów na iOS;Naucz się tworzyć aplikacje iOS na ciekawych przykładach - Tinder, Lotto, Galeria zdjęć;Educativo PL;11,5;3,6;52.99;1287722_8f99_3.jpg;Programowanie;Programowanie mobilne
Podstawy programowania. Język C;Pierwsze kroki w świecie programowania;InterTech Academy, Maciej Kraszewski, Adrian Wójcik;5,5;4,5;64.99;2427966_c6a7_7.jpg;Programowanie;Języki programowania
Git & Github: wszystko co powinieneś umieć w 2020;Kompletna instrukcja jak dojść od zera do eksperta w zakresie kontroli wersji;Michał Dobrzykowski;2;4,1;52.99;3065592_cc48.jpg;Programowanie;Narzędzia programistyczne
Programowanie w Javie: solidne fundamenty;Najskuteczniejsza droga do nauki programowania: zrozum język Java i zdobądź w nim prawdziwą biegłość;Michał Kupisiński, Aleksandra Man-Kupisińska;49,5;4,8;52.99;2887016_d722.jpg;Programowanie;Języki programowania
SQL Server Reporting Services - Tworzenie raportów w SSRS;Raporty nie muszą być nudne! Zobacz jak niewiele trzeba, abyś sam przygotował dynamiczne, raporty online;Rafał Mobilo;4,5;4,7;52.99;1235580_1c0a_4.jpg;Programowanie;Projektowanie i tworzenie baz danych
RegEx - Wyrażenia Regularne od \A do \Z;Zostań mistrzem RegEx. Uniwersalny kurs dla wszystkich technologii. Implementacja w C# i Java.;Adrian Szuszkiewicz;4;4,9;84.99;1484040_ba61.jpg;Programowanie;Narzędzia programistyczne
C# Seria Programista - część 2;Podstawy Programowanie obiektowego w języku C#;Mariusz Jurczenko;9,5;4,3;59.99;2029342_ff25_4.jpg;Programowanie;Języki programowania
Uczenie maszynowe od podstaw z Azure ML Studio (classic);Zrób pierwszy krok w kierunku najbardziej poszukiwanego zawodu XXI wieku;Michal Zylinski;4,5;4,6;52.99;1588828_8457.jpg;Programowanie;Badanie danych
Data Science - Język R dla początkujących;w sam raz na początek kariery w data science;Rafał Mobilo;10;4,6;52.99;2435978_892b.jpg;Programowanie;Badanie danych
React dla średnio zaawansowanych;Styled-components, Redux, Middlewares, Portals, Hooks, React.memo, React.lazy, Suspense, Context API, JSON Server i inne;Mentorzy IT, Daniel Siwek;17,5;4,1;69.99;2885676_731d_3.jpg;Programowanie;Tworzenie stron internetowych
Fajny JavaScript - zaawansowane techniki ES6+;ES6 i dalej, modularyzacja, najlepsze praktyki, Node, npm, ESLint, webpack, Web Components, TypeScript, testy, async;Mateusz Chrzonstowski;12;4,4;52.99;1815718_7e72.jpg;Programowanie;Tworzenie stron internetowych
JavaScript - zacznij tworzyć dynamiczne strony i aplikacje;Poznaj podstawy programowania w JavaScript i spraw, że Twoje strony i aplikacje będą wyglądały lepiej niż kiedykolwiek!;eduweb.pl - Kursy Wideo;11;4,4;52.99;1525952_ca37_5.jpg;Programowanie;Języki programowania
Selenium IDE - Podstawy Automatyzacji + lokatory WebDriver;Zdobądź umiejętność lokalizowania elementów na stronie, która jest kluczem do automatyzacji testów w selenium;Hubert Arciszewski;2,5;4,5;52.99;1561456_bc23_2.jpg;Programowanie;Testowanie oprogramowania
SQL Server - programowanie, typy zaawansowane, XML 70-761;Pisz skrypty w T-SQL. Używaj zmiennych, buduj pętle, stosuj zaawansowane typy: ROWVERSION, GEOMETRY, HIERARCHY, XML itp.;Rafał Mobilo;4,5;4,4;52.99;868746_3f76_2.jpg;Programowanie;Tworzenie stron internetowych
Docker od podstaw - dla programistów i nie tylko;Wykorzystaj potencjał kontenerów już dziś i wejdź w świat DevOps;Przemysław Nowak;3,5;4,2;52.99;2065437_077c_4.jpg;Programowanie;Narzędzia programistyczne
C# od podstaw 2020 - intensywny kurs programowania;Naucz się programować aplikacje! Programowanie w praktyce, oparte na przykładach;Mentorzy IT, Patryk Mikulski;6,5;4,4;69.99;3114100_3b88_3.jpg;Programowanie;Języki programowania
Kurs programowania - Python od podstaw;Poznaj język programowania Python dzięki naszemu obszernemu kursowi!;cgwisdom.pl - Kursy online;10,5;4,1;52.99;1804288_8320.jpg;Programowanie;Języki programowania
React Redux 2020 - tworzenie aplikacji webowych;Tworzymy, krok po kroku, aplikacje z użyciem JavaScript, bibliotek React i Redux oraz integrujemy ją z usługami Firebase;Paweł Ćwik;10;4,0;52.99;1787326_3a6a_3.jpg;Programowanie;Języki programowania
Stwórz własą grę 3D w Unity;Od podstaw;Videopoint Grupa Helion;5;4,5;52.99;1388862_6a3e_2.jpg;Programowanie;Programowanie mobilne
Uczenie maszynowe w Pythonie. Podstawy, perceptron, regresja;Machine Learning już się dzieje i będzie się dziać dalej. Warto je poznać!;Rafał Mobilo;7,5;4,5;59.99;2658330_5c1e.jpg;Programowanie;Badanie danych
Asp.Net MVC;Asp.Net MVC praktyczny kurs;Mariusz Jurczenko;14,5;3,9;52.99;2100336_5ba0_10.jpg;Programowanie;Tworzenie stron internetowych
Podstawy manualnego testowania oprogramowania;Sprawdź czy testowanie jest dla Ciebie;Tester Oprogramowania;7,5;4,4;99.99;2925588_09df_2.jpg;Programowanie;Testowanie oprogramowania
[2020] Bootstrap Od Podstaw - Stwórz 4 Wyjątkowe strony WWW!;Naucz się tworzyć nowoczesne strony internetowe oparte o technologie Bootstrap i Flexbox!;Mateusz Maj;8,5;4,8;52.99;2755534_0573_2.jpg;Programowanie;Tworzenie stron internetowych
SQL Server - Modyfikacja danych, transakcje i błędy. 70-762;Od A do Z o tym jak poprawnie modyfikować dane w SQL Server;Rafał Mobilo;5;4,7;64.99;1471538_0d3d.jpg;Programowanie;Projektowanie i tworzenie baz danych
Angular;Angular - szybki start;Mariusz Jurczenko;14,5;4,4;52.99;2095270_9276_5.jpg;Programowanie;Tworzenie stron internetowych
Python - 50 pytań z rozmów kwalifikacyjnych;Poznaj najczęściej zadawane pytania i przygotuj się do rozmowy kwalifikacyjnej na stanowisko Python Developera.;Marta Potocka;5,5;4,8;52.99;2940946_decf_3.jpg;Programowanie;Języki programowania
Unity dla dzieci - cz.1;Zabawa w programowanie gier. Poziom pierwszy;Videopoint Grupa Helion;6;4,3;52.99;1653718_8f54.jpg;Programowanie;Tworzenie gier
Docker w praktyce. Poziom I;Naucz się konteneryzować aplikacje, korzystać z wolumenów oraz dobierać odpowiednie narzędzia!;Videopoint Grupa Helion;6;4,0;52.99;2170630_94f9.jpg;Programowanie;Narzędzia programistyczne
Wprowadzenie do data science w języku Python - Pandas - 2020;Zrób krok w stronę Pythona i analizuj dane jak profesjonalny data scientist!;Paweł Krakowiak;12,5;4,4;52.99;2362918_5116_3.jpg;Programowanie;Języki programowania
Xamarin- tworzenie aplikacji cross-platform na iOS i Android;Stworzysz natywne aplikacje w języku C#, działające na obu systemach iOS i Android.;Educativo PL;11,5;3,7;79.99;1424324_a0d2.jpg;Programowanie;Programowanie mobilne
Programowanie obiektowe w JavaScript - opanuj, tworząc gry!;6 gier w JavaScript - osiągnij wyższy poziom programistyczny i świetnie się przy tym baw!;Mentorzy IT, Kacper Sieradziński, Michał Dziedziński, Samuraj Programowania, Mateusz Domański;28;4,7;84.99;3428814_eee3_4.jpg;Programowanie;Języki programowania
Seria Web Developer - część 3 - Portal Randkowy.;Budowanie aplikacji ASP.NET Core 2.2 Web API z wykorzystaniem Angular 8;Mariusz Jurczenko;32;4,4;52.99;2429076_4eff_5.jpg;Programowanie;Tworzenie stron internetowych
Laravel - Framework PHP;Poznaj jeden z najpopularniejszych frameworków języka PHP i zaprogramuj własną aplikacji internetową.;Videopoint Grupa Helion;7;4,4;52.99;1830548_0eaa.jpg;Programowanie;Tworzenie stron internetowych
Python - Testowanie kodu;Naucz się pisać testy jednostkowe i poznaj metodykę TDD.;Videopoint Grupa Helion;3;4,2;52.99;1906676_01d2.jpg;Programowanie;Testowanie oprogramowania
Aplikacje Internetowe w Laravel i PHP z Wersją na Smartfon;Web Development z Laravel (framework PHP). Stwórz Zaawansowaną Aplikację - System Rezerwacyjny i Hybrydową Wersję Mobile;Robert Apollo;5,5;4,0;52.99;1569660_0350_5.jpg;Programowanie;Tworzenie stron internetowych
10 projektów w czystym JavaScript cz. 1;Przekształć wiedzę teoretyczną, w wiedzę praktyczną i zbuduj 10 projektów w języku JavaScript! :);Mateusz Maj;9,5;4,7;52.99;2823135_2421_2.jpg;Programowanie;Języki programowania
Wystartuj z Data Science w Pythonie!;Użyj Pythona aby jak najszybciej zaznajomić się z Data Science i Uczeniem Maszynowym;Damian Melniczuk;7;3,7;52.99;1512940_a02c.jpg;Programowanie;Badanie danych
Oracle SQL;Naucz się tworzyć bazy danych! Zacznij od zagadnień podstawowych, a zakończ na zaawansowanych!;Videopoint Grupa Helion;4;3,8;52.99;2256916_1f47.jpg;Programowanie;Projektowanie i tworzenie baz danych
Naucz się programować w RUBY;Poznaj podstawowe i zaawansowane techniki programowania;Videopoint Grupa Helion;8,5;4,0;52.99;1431762_52db.jpg;Programowanie;Języki programowania
Data Science Bootcamp w języku Python - od A do Z - 2020;Wejdź w świat data science i otwórz sobie drogę do zawodu przyszłości - data scientist!;Paweł Krakowiak;12,5;4,6;52.99;2690192_a75a_4.jpg;Programowanie;Badanie danych
C++ od podstaw;Postaw pierwsze kroki w programowaniu. Poznaj tajniki języka C++ i stwórz swoją pierwszą aplikację!;Software Development Academy, Michał Orlikowski;4,5;3,9;52.99;1439342_e2bd_4.jpg;Programowanie;Języki programowania
Unity 3D strategia czasu rzeczywistego RTS;Tworzymy grę strategiczną w Unity 3D;BackDoor Knowledge University;10,5;3,9;59.99;1551368_e5e9_2.jpg;Programowanie;Tworzenie gier
Wprowadzenie do sieci neuronowych - Tensorflow 2.0 + Keras;Naucz się budować sieci neuronowe w języku Python wykorzystując najnowocześniejsze rozwiązania!;Paweł Krakowiak;8,5;4,8;52.99;2644340_7418_2.jpg;Programowanie;Badanie danych
Kurs WORDPRESS 2020 Tworzenie stron www bloga WordPress CMS✅;Stwórz własną stronę www i bloga WORDPRESS CMS. Budowa strony WordPress bez kodowania i programowania. Zapraszam ✅⭐;Szymon Owedyk;9;3,4;52.99;1853880_514b_6.jpg;Programowanie;Tworzenie stron internetowych
Kurs programowania - Python - Poziom średnio zaawansowany;Chcesz dalej zgłębiać tajniki języka programowania Python? Sprawdź nasz kurs!;cgwisdom.pl - Kursy online;7;3,8;52.99;2030564_960f.jpg;Programowanie;Języki programowania
Kurs - Android od podstaw - Tworzenie aplikacji;Naucz się tworzyć działającą aplikację od zera!;cgwisdom.pl - Kursy online;12;3,8;79.99;1732756_aa79.jpg;Programowanie;Programowanie mobilne
Deep Learning w języku Python - Konwolucyjne Sieci Neuronowe;Zrób krok w stronę sieci neuronowych dzięki bibliotece Keras!;Paweł Krakowiak;8,5;4,6;52.99;2453042_f011.jpg;Programowanie;Badanie danych
CMS Shop Paypal - Praktyczny projekt;CMSShop Praktyczny projekt w Asp.Net Mvc zintegrowany z systemem płatności Paypal.;Mariusz Jurczenko;21;4,1;52.99;1915082_63d5_3.jpg;Programowanie;Tworzenie stron internetowych
Web development z Laravel i PHP + aplikacja mobilna;Wejdź Na Zaawansowany Poziom Tworzenia Aplikacji Internetowych We Frameworku Laravel;Robert Apollo;24,5;4,0;64.99;1668208_46e4_4.jpg;Programowanie;Tworzenie stron internetowych
Wprowadzenie do testowania dla programistów .net;Jak upewnić się że działa tak jak powinno, w kilku odsłonach;Jarosław Stadnicki;4,5;4,7;64.99;2166500_bb91.jpg;Programowanie;Testowanie oprogramowania
Praktyczny kurs Java 11. Poziom I.;Zmienne, Operatory, Tablice, Pętle, Polimorfizm, Dziedziczenie, Kolekcje, Refleksja, NIO2, JUnit 5, Mockito, Debugowanie;Paweł Wąsowski;34,5;4,5;52.99;2549673_8217_9.jpg;Programowanie;Języki programowania
Programowanie w C++ od podstaw;Najlepsze źródło wiedzy o podstawach i fundamentach C++ w najnowszej wersji (C++17);Mentorzy IT, Wojciech Goledzinowski;12,5;4,5;69.99;3244202_ead2_3.jpg;Programowanie;Języki programowania
Podstawy języka Swift;Pierwsze kroki w programowaniu - od zera do Apple dewelopera. Tworzenie aplikacji mobilnych na iOS, WatchOS, TvOS;Educativo PL;4,5;3,6;59.99;1750298_7763_3.jpg;Programowanie;Programowanie mobilne
Podstawy Programowania w języku C#;Nauka języka C# na podstawie projektów Windows Forms;Pikademia Edukacja XXIw.;8;4,7;52.99;2425790_62dc_2.jpg;Programowanie;Języki programowania
Ruby on Rails - programowanie od podstaw;Praktyczne tworzenie aplikacji;Videopoint Grupa Helion;9;4,7;52.99;1440122_ffe2.jpg;Programowanie;Tworzenie stron internetowych
Unity. Tworzenie gry 2D i publikacja w Google Play;Poziom zaawansowany;Videopoint Grupa Helion;5;4,5;52.99;1527190_466b.jpg;Programowanie;Tworzenie gier
BDD - Cucumber dla początkujących;Kurs Cucumbera od podstaw korzystając z języka programownia Java;Tester Oprogramowania;2,5;4,6;69.99;2426584_b65b.jpg;Programowanie;Testowanie oprogramowania
Kurs - Kotlin od postaw - Programowanie na Androida;Chcesz tworzyć aplikację na Androida? Po przerobieniu naszego kursu będzie to możliwe bez problemu!;cgwisdom.pl - Kursy online;6,5;4,3;84.99;1794408_494c.jpg;Programowanie;Programowanie mobilne
GIT - śledź postępy pracy i bądź na bieżąco z projektami;"Poznaj GIT - popularny i wygodny system kontroli wersji, który sprawi, że ""szybkie poprawki"" nie będą postrachem ;)";eduweb.pl - Kursy Wideo;8,5;4,9;52.99;1908706_dea9.jpg;Programowanie;Narzędzia programistyczne
Unity - Kurs Tworzenia Gier MEGAPAKIET;Kurs od zupełnych podstaw do stworzenia własnej gry 3D;Daniel Tokarz;44;4,4;52.99;2855414_dc91_9.jpg;Programowanie;Tworzenie gier
C# Seria Programista - część 3;C# Najlepsze Praktyki – Podstawy języka;Mariusz Jurczenko;11,5;4,8;59.99;2301622_6590_4.jpg;Programowanie;Języki programowania
Web development od podstaw: HTML5, CSS3 i jQuery;Trzy najważniesze tematy dotyczące programowania web zawarte w jednym pakiecie.;Sly Hofman;11,5;4,1;52.99;1338700_6498.jpg;Programowanie;Tworzenie stron internetowych
PHP 7 - poznaj nową wersję języka programowania;Poznaj jeden z najpopularniejszych języków programowania, jakim jest PHP 7, i wykorzystaj w pełni jego potencjał!;eduweb.pl - Kursy Wideo;5,5;4,2;52.99;2003622_d461.jpg;Programowanie;Tworzenie stron internetowych
JavaScript i front-end (nie tylko) dla back-endowców;JavaScript, TypeScript, React, backend, frontend, Node, npm, webpack, Mocha, CSS, ES6, modularyzacja, testy, async;Mateusz Chrzonstowski;7,5;4,6;52.99;2135176_d5b1.jpg;Programowanie;Tworzenie stron internetowych
Angular 5;Programowanie webowe w oparciu o architekturę komponentową. Poziom Pierwszy;Videopoint Grupa Helion;8;4,2;52.99;1665496_b9b6_2.jpg;Programowanie;Narzędzia programistyczne
Zaawansowane programowanie w języku C;Zostań mistrzem programowania niskopoziomowego;InterTech Academy, Maciej Kraszewski, Adrian Wójcik;5,5;4,3;52.99;2713166_bc9a_2.jpg;Programowanie;Języki programowania
iOS 11 i Swift 4 - Tworzenie app na iPhone'a i iPada od zera;Naucz się tworzyć aplikacje na iPhone'a, iPada, Apple Watch i Apple TV w najnowszej wersji języka Swift;Akademia Jutra;9,5;3,5;52.99;1509490_71e9.jpg;Programowanie;Programowanie mobilne
HTML5, CSS, JavaScript, jQuery Seria Web Developer część 2;HTML5, CSS, JavaScript, jQuery Szybki Start dla .Net Core - Seria Web Developer część 2;Mariusz Jurczenko;10;4,4;52.99;2175942_324f_7.jpg;Programowanie;Tworzenie stron internetowych
C# zaawansowany - programuj w C# na zawodowym poziomie;Poznaj zaawansowane koncepty i programowanie zorientowane obiektowo (OOP) w C# i zostań DOBRYM programistą C#/.NET;Mentorzy IT, Patryk Mikulski;8;4,6;69.99;3444818_3dc8_2.jpg;Programowanie;Języki programowania
Uczenie Maszynowe - Drzewa Decyzyjne i Lasy Losowe - Python;Poznaj od podstaw algorytmy uczenia maszynowego w języku Python! Twórz własne modele w bibliotece scikit-learn!;Paweł Krakowiak;6;4,5;52.99;2472898_3a97_2.jpg;Programowanie;Badanie danych
Uczenie Maszynowe - Drzewa Decyzyjne i Lasy Losowe - Python;Poznaj od podstaw algorytmy uczenia maszynowego w języku Python! Twórz własne modele w bibliotece scikit-learn!;Paweł Krakowiak;6;4,5;52.99;2472898_3a97_2.jpg;Programowanie;Badanie danych
Mikroserwisy z Spring Cloud - tworzenie aplikacji webowych!;Implementacja kilku aplikacji w Spring Boot komunikujących się z sobą tworząc architekturę rozproszoną;Artur Laskowski;14,5;4,8;69.99;2843016_3eae.jpg;Programowanie;Tworzenie stron internetowych
Kurs Symfony 4 dla początkujących;Poznaj framework Symfony w nowej odsłonie oznaczonej numerem 4: od teorii, po praktyczne zastosowanie.;Edugrafia.pl - wideo kursy;5;3,0;64.99;2625960_5975.jpg;Programowanie;Języki programowania
Big Data: Analiza danych przy użyciu SQL oraz BigQuery;Analizuj dane rzędu GB czy TB w mgnieniu oka. Wykorzystaj przewagę rozwiązań chmurowych już dziś!;Paweł Krakowiak;9,5;4,7;52.99;2614552_73a3_2.jpg;Programowanie;Projektowanie i tworzenie baz danych
Django 3: zaawansowany kurs po polsku (PL);Zaawansowane koncepty frameworka Django 3;Krystian Czekalski;6;4,2;52.99;2640212_6b44_5.jpg;Programowanie;Tworzenie stron internetowych
Twórz gry komputerowe 3D w Unity - poziom zaawansowany;Poznaj zaawansowane funkcje silnika Unity;Videopoint Grupa Helion;4;4,6;52.99;1414734_50ee_2.jpg;Programowanie;Tworzenie gier
Machine Learning Bootcamp w języku Python cz.I - od A do Z;Uczenie Maszynowe - Wejdź w świat uczenia nadzorowanego i wykorzystaj przewagę uczenia maszynowego na rynku!;Paweł Krakowiak;11;4,6;52.99;2697570_d816_4.jpg;Programowanie;Badanie danych
200+ Ćwiczeń - Programowanie w języku Python - od A do Z;Podnieś poziom swoich umiejętności programowania w języku Python i rozwiąż ponad 200 zadań o różnym poziomie trudności!;Paweł Krakowiak;1;4,6;52.99;2942786_a51d_3.jpg;Programowanie;Języki programowania
